Date__(UT)__HR:MN, , , R.A._(ICRF), DEC__(ICRF),    APmag,  S-brt,             delta,     deldot,
2023-Jan-27 00:00, , , 04 27 22.35, +24 31 14.1,   -0.423,  4.490,  0.83160788215902, 15.0360825,
 2023-Jan-28 00:00, , , 04 28 06.82, +24 32 19.2,   -0.383,  4.506,  0.84032704267996, 15.1557953,
 2023-Jan-29 00:00, , , 04 28 53.90, +24 33 28.2,   -0.349,  4.515,  0.84911402854539, 15.2709754,
 2023-Jan-30 00:00, , , 04 29 43.55, +24 34 41.0,   -0.316,  4.524,  0.85796628767968, 15.3818485,
 2023-Jan-31 00:00, , , 04 30 35.71, +24 35 57.3,   -0.277,  4.540,  0.86688139356290, 15.4886236,
 2023-Feb-01 00:00, , , 04 31 30.31, +24 37 16.8,   -0.237,  4.556,  0.87585703561039, 15.5914934,
 2023-Feb-02 00:00, , , 04 32 27.30, +24 38 39.4,   -0.210,  4.559,  0.88489101047161, 15.6906369,
 2023-Feb-03 00:00, , , 04 33 26.62, +24 40 04.9,   -0.188,  4.557,  0.89398121468102, 15.7862213,
 2023-Feb-04 00:00, , , 04 34 28.23, +24 41 33.0,   -0.166,  4.556,  0.90312563833024, 15.8784034,
 2023-Feb-05 00:00, , , 04 35 32.06, +24 43 03.4,   -0.148,  4.551,  0.91232235912043, 15.9673297,
 2023-Feb-06 00:00, , , 04 36 38.07, +24 44 36.0,   -0.124,  4.552,  0.92156953614951, 16.0531354,
 2023-Feb-07 00:00, , , 04 37 46.20, +24 46 10.5,   -0.092,  4.561,  0.93086540297463, 16.1359429,
 2023-Feb-08 00:00, , , 04 38 56.41, +24 47 46.8,   -0.045,  4.585,  0.94020825975496, 16.2158602,
 2023-Feb-09 00:00, , , 04 40 08.66, +24 49 24.5,   -0.029,  4.578,  0.94959646451500, 16.2929794,
 2023-Feb-10 00:00, , , 04 41 22.89, +24 51 03.5,   -0.014,  4.571,  0.95902842367208, 16.3673758,
 2023-Feb-11 00:00, , , 04 42 39.06, +24 52 43.5,    0.017,  4.579,  0.96850258188790, 16.4391063,
 2023-Feb-12 00:00, , , 04 43 57.13, +24 54 24.4,    0.058,  4.598,  0.97801741103955, 16.5082078,
 2023-Feb-13 00:00, , , 04 45 17.07, +24 56 05.9,    0.074,  4.591,  0.98757139775202, 16.5746938,
 2023-Feb-14 00:00, , , 04 46 38.83, +24 57 47.8,    0.081,  4.577,  0.99716302866552, 16.6385499,
 2023-Feb-15 00:00, , , 04 48 02.38, +24 59 29.9,    0.104,  4.578,  1.00679077269433, 16.6997284,
 2023-Feb-16 00:00, , , 04 49 27.68, +25 01 12.1,    0.116,  4.569,  1.01645306031760, 16.7581435,
 2023-Feb-17 00:00, , , 04 50 54.70, +25 02 54.0,    0.136,  4.567,  1.02614826172594, 16.8136729,
 2023-Feb-18 00:00, , , 04 52 23.40, +25 04 35.6,    0.154,  4.564,  1.03587466830150, 16.8661690,
 2023-Feb-19 00:00, , , 04 53 53.76, +25 06 16.5,    0.151,  4.540,  1.04563048434537, 16.9154831,
 2023-Feb-20 00:00, , , 04 55 25.73, +25 07 56.7,    0.176,  4.544,  1.05541383603076, 16.9614992,
 2023-Feb-21 00:00, , , 04 56 59.29, +25 09 35.8,    0.201,  4.548,  1.06522280037171, 17.0041677,
 2023-Feb-22 00:00, , , 04 58 34.39, +25 11 13.8,    0.213,  4.540,  1.07505544940140, 17.0435222,
 2023-Feb-23 00:00, , , 05 00 11.01, +25 12 50.3,    0.234,  4.540,  1.08490989814645, 17.0796753,
 2023-Feb-24 00:00, , , 05 01 49.10, +25 14 25.1,    0.253,  4.539,  1.09478434401359, 17.1127949,
 2023-Feb-25 00:00, , , 05 03 28.62, +25 15 58.1,    0.276,  4.541,  1.10467709026274, 17.1430747,
 2023-Feb-26 00:00, , , 05 05 09.54, +25 17 29.1,    0.294,  4.540,  1.11458655330895, 17.1707094,
 2023-Feb-27 00:00, , , 05 06 51.83, +25 18 57.8,    0.305,  4.531,  1.12451125841144, 17.1958796,
 2023-Feb-28 00:00, , , 05 08 35.44, +25 20 24.0,    0.321,  4.528,  1.13444982953454, 17.2187462,
 2023-Mar-01 00:00, , , 05 10 20.34, +25 21 47.5,    0.343,  4.530,  1.14440097796537, 17.2394512,
 2023-Mar-02 00:00, , , 05 12 06.50, +25 23 08.1,    0.377,  4.545,  1.15436349232400, 17.2581211,
 2023-Mar-03 00:00, , , 05 13 53.88, +25 24 25.8,    0.405,  4.554,  1.16433623093162, 17.2748714,
 2023-Mar-04 00:00, , , 05 15 42.45, +25 25 40.1,    0.442,  4.572,  1.17431811640340, 17.2898096,
 2023-Mar-05 00:00, , , 05 17 32.18, +25 26 51.1,    0.468,  4.580,  1.18430813173298, 17.3030374,
 2023-Mar-06 00:00, , , 05 19 23.04, +25 27 58.5,    0.498,  4.591,  1.19430531687316, 17.3146502,
 2023-Mar-07 00:00, , , 05 21 15.00, +25 29 02.1,    0.529,  4.603,  1.20430876478552, 17.3247358,
 2023-Mar-08 00:00, , , 05 23 08.04, +25 30 01.9,    0.553,  4.609,  1.21431761607903, 17.3333708,
 2023-Mar-09 00:00, , , 05 25 02.11, +25 30 57.5,    0.577,  4.615,  1.22433105165181, 17.3406174,
 2023-Mar-10 00:00, , , 05 26 57.21, +25 31 49.0,    0.608,  4.628,  1.23434828312969, 17.3465192,
 2023-Mar-11 00:00, , , 05 28 53.31, +25 32 36.0,    0.638,  4.641,  1.24436854125700, 17.3510984,
 2023-Mar-12 00:00, , , 05 30 50.37, +25 33 18.5,    0.653,  4.639,  1.25439106262445, 17.3543527,
 2023-Mar-13 00:00, , , 05 32 48.39, +25 33 56.4,    0.667,  4.635,  1.26441507515540, 17.3562539,
 2023-Mar-14 00:00, , , 05 34 47.33, +25 34 29.5,    0.678,  4.629,  1.27443978266069, 17.3567466,
 2023-Mar-15 00:00, , , 05 36 47.19, +25 34 57.6,    0.689,  4.623,  1.28446434869028, 17.3557468,
 2023-Mar-16 00:00, , , 05 38 47.94, +25 35 20.7,    0.703,  4.620,  1.29448788011824, 17.3531424,
 2023-Mar-17 00:00, , , 05 40 49.56, +25 35 38.6,    0.731,  4.631,  1.30450941164218, 17.3487965,
 2023-Mar-18 00:00, , , 05 42 52.03, +25 35 51.2,    0.763,  4.646,  1.31452789367534, 17.3425563,
 2023-Mar-19 00:00, , , 05 44 55.34, +25 35 58.3,    0.768,  4.635,  1.32454218751105, 17.3342693,
 2023-Mar-20 00:00, , , 05 46 59.47, +25 35 59.8,    0.776,  4.627,  1.33455107210050, 17.3238070,
 2023-Mar-21 00:00, , , 05 49 04.39, +25 35 55.7,    0.801,  4.636,  1.34455326509078, 17.3110896,
 2023-Mar-22 00:00, , , 05 51 10.10, +25 35 45.7,    0.831,  4.650,  1.35454745663909, 17.2961036,
 2023-Mar-23 00:00, , , 05 53 16.56, +25 35 29.8,    0.833,  4.637,  1.36453234961216, 17.2789056,
 2023-Mar-24 00:00, , , 05 55 23.75, +25 35 07.8,    0.833,  4.621,  1.37450669707186, 17.2596098,
 2023-Mar-25 00:00, , , 05 57 31.66, +25 34 39.6,    0.848,  4.620,  1.38446932933271, 17.2383655,
 2023-Mar-26 00:00, , , 05 59 40.25, +25 34 05.2,    0.850,  4.607,  1.39441916738406, 17.2153337,
 2023-Mar-27 00:00, , , 06 01 49.51, +25 33 24.4,    0.863,  4.605,  1.40435522421765, 17.1906696,
 2023-Mar-28 00:00, , , 06 03 59.42, +25 32 37.0,    0.870,  4.597,  1.41427659831138, 17.1645132,
 2023-Mar-29 00:00, , , 06 06 09.95, +25 31 43.1,    0.856,  4.568,  1.42418246382197, 17.1369866,
 2023-Mar-30 00:00, , , 06 08 21.07, +25 30 42.4,    0.884,  4.582,  1.43407206087826, 17.1081968,
 2023-Mar-31 00:00, , , 06 10 32.78, +25 29 35.0,    0.890,  4.573,  1.44394468783608, 17.0782392,
 2023-Apr-01 00:00, , , 06 12 45.05, +25 28 20.7,    0.900,  4.568,  1.45379969607708, 17.0472026,
 2023-Apr-02 00:00, , , 06 14 57.85, +25 26 59.4,    0.911,  4.565,  1.46363648705928, 17.0151721,
 2023-Apr-03 00:00, , , 06 17 11.18, +25 25 31.2,    0.923,  4.563,  1.47345451077638, 16.9822307,
 2023-Apr-04 00:00, , , 06 19 25.01, +25 23 55.8,    0.938,  4.564,  1.48325326444052, 16.9484585,
 2023-Apr-05 00:00, , , 06 21 39.32, +25 22 13.2,    0.945,  4.557,  1.49303229002341, 16.9139297,
 2023-Apr-06 00:00, , , 06 23 54.11, +25 20 23.4,    0.950,  4.548,  1.50279116930778, 16.8787069,
 2023-Apr-07 00:00, , , 06 26 09.34, +25 18 26.3,    0.960,  4.544,  1.51252951539183, 16.8428348,
 2023-Apr-08 00:00, , , 06 28 25.01, +25 16 21.8,    0.980,  4.551,  1.52224696018806, 16.8063328,
 2023-Apr-09 00:00, , , 06 30 41.10, +25 14 09.9,    1.005,  4.563,  1.53194313827958, 16.7691900,
 2023-Apr-10 00:00, , , 06 32 57.60, +25 11 50.5,    1.029,  4.574,  1.54161766831798, 16.7313620,
 2023-Apr-11 00:00, , , 06 35 14.50, +25 09 23.6,    1.058,  4.589,  1.55127013369670, 16.6927713,
 2023-Apr-12 00:00, , , 06 37 31.78, +25 06 49.0,    1.077,  4.596,  1.56090006435315, 16.6533111,
 2023-Apr-13 00:00, , , 06 39 49.44, +25 04 06.9,    1.102,  4.608,  1.57050692132379, 16.6128508,
 2023-Apr-14 00:00, , , 06 42 07.46, +25 01 17.0,    1.125,  4.618,  1.58009008537447, 16.5712445,
 2023-Apr-15 00:00, , , 06 44 25.83, +24 58 19.4,    1.142,  4.622,  1.58964885093269, 16.5283412,
 2023-Apr-16 00:00, , , 06 46 44.55, +24 55 14.0,    1.162,  4.630,  1.59918242668640, 16.4839974,
 2023-Apr-17 00:00, , , 06 49 03.59, +24 52 00.8,    1.189,  4.644,  1.60868994425261, 16.4380922,
 2023-Apr-18 00:00, , , 06 51 22.96, +24 48 39.8,    1.209,  4.653,  1.61817047571380, 16.3905427,
 2023-Apr-19 00:00, , , 06 53 42.63, +24 45 10.7,    1.214,  4.645,  1.62762305921884, 16.3413159,
 2023-Apr-20 00:00, , , 06 56 02.59, +24 41 33.8,    1.224,  4.643,  1.63704672957275, 16.2904332,
 2023-Apr-21 00:00, , , 06 58 22.84, +24 37 48.8,    1.227,  4.634,  1.64644054886636, 16.2379660,
 2023-Apr-22 00:00, , , 07 00 43.35, +24 33 55.9,    1.235,  4.631,  1.65580363191143, 16.1840229,
 2023-Apr-23 00:00, , , 07 03 04.11, +24 29 54.9,    1.245,  4.629,  1.66513516290134, 16.1287329,
 2023-Apr-24 00:00, , , 07 05 25.11, +24 25 45.8,    1.278,  4.650,  1.67443440248400, 16.0722294,
 2023-Apr-25 00:00, , , 07 07 46.33, +24 21 28.6,    1.290,  4.651,  1.68370068694318, 16.0146393,
 2023-Apr-26 00:00, , , 07 10 07.75, +24 17 03.4,    1.289,  4.638,  1.69293342250594, 15.9560775,
 2023-Apr-27 00:00, , , 07 12 29.37, +24 12 30.0,    1.299,  4.637,  1.70213207784411, 15.8966455,
 2023-Apr-28 00:00, , , 07 14 51.18, +24 07 48.5,    1.325,  4.652,  1.71129617709370, 15.8364343,
 2023-Apr-29 00:00, , , 07 17 13.14, +24 02 58.8,    1.336,  4.653,  1.72042529473127, 15.7755281,
 2023-Apr-30 00:00, , , 07 19 35.26, +23 58 01.0,    1.330,  4.636,  1.72951905275203, 15.7140078,
 2023-May-01 00:00, , , 07 21 57.53, +23 52 55.1,    1.333,  4.628,  1.73857711988189, 15.6519547,
 2023-May-02 00:00, , , 07 24 19.92, +23 47 41.1,    1.336,  4.621,  1.74759921197369, 15.5894506,
 2023-May-03 00:00, , , 07 26 42.44, +23 42 18.9,    1.337,  4.611,  1.75658509222656, 15.5265770,
 2023-May-04 00:00, , , 07 29 05.06, +23 36 48.6,    1.345,  4.608,  1.76553456944301, 15.4634093,
 2023-May-05 00:00, , , 07 31 27.78, +23 31 10.2,    1.336,  4.589,  1.77444749234799, 15.4000086,
 2023-May-06 00:00, , , 07 33 50.59, +23 25 23.7,    1.329,  4.572,  1.78332373828659, 15.3364111,
 2023-May-07 00:00, , , 07 36 13.48, +23 19 29.0,    1.352,  4.585,  1.79216319561230, 15.2726171,
 2023-May-08 00:00, , , 07 38 36.45, +23 13 26.3,    1.345,  4.568,  1.80096574073283, 15.2085841,
 2023-May-09 00:00, , , 07 40 59.49, +23 07 15.5,    1.354,  4.567,  1.80973121261175, 15.1442255,
 2023-May-10 00:00, , , 07 43 22.58, +23 00 56.7,    1.357,  4.561,  1.81845938873078, 15.0794166,
 2023-May-11 00:00, , , 07 45 45.74, +22 54 29.7,    1.366,  4.559,  1.82714996645918, 15.0140069,
 2023-May-12 00:00, , , 07 48 08.94, +22 47 54.8,    1.373,  4.557,  1.83580255247509, 14.9478355,
 2023-May-13 00:00, , , 07 50 32.20, +22 41 11.8,    1.369,  4.544,  1.84441666104585, 14.8807457,
 2023-May-14 00:00, , , 07 52 55.50, +22 34 20.7,    1.371,  4.537,  1.85299172046684, 14.8125985,
 2023-May-15 00:00, , , 07 55 18.83, +22 27 21.7,    1.378,  4.534,  1.86152708621771, 14.7432822,
 2023-May-16 00:00, , , 07 57 42.20, +22 20 14.6,    1.399,  4.546,  1.87002205925477, 14.6727207,
 2023-May-17 00:00, , , 08 00 05.59, +22 12 59.5,    1.414,  4.551,  1.87847590785551, 14.6008776,
 2023-May-18 00:00, , , 08 02 29.00, +22 05 36.5,    1.438,  4.566,  1.88688789122460, 14.5277577,
 2023-May-19 00:00, , , 08 04 52.42, +21 58 05.6,    1.453,  4.573,  1.89525728269129, 14.4534041,
 2023-May-20 00:00, , , 08 07 15.85, +21 50 26.7,    1.469,  4.580,  1.90358339011940, 14.3778920,
 2023-May-21 00:00, , , 08 09 39.27, +21 42 40.0,    1.488,  4.590,  1.91186557147114, 14.3013180,
 2023-May-22 00:00, , , 08 12 02.68, +21 34 45.4,    1.501,  4.594,  1.92010324439196, 14.2237903,
 2023-May-23 00:00, , , 08 14 26.07, +21 26 43.0,    1.512,  4.597,  1.92829588992596, 14.1454189,
 2023-May-24 00:00, , , 08 16 49.44, +21 18 32.8,    1.531,  4.607,  1.93644305157113, 14.0663093,
 2023-May-25 00:00, , , 08 19 12.77, +21 10 14.9,    1.550,  4.618,  1.94454433149844, 13.9865590,
 2023-May-26 00:00, , , 08 21 36.06, +21 01 49.3,    1.555,  4.615,  1.95259938582008, 13.9062574,
 2023-May-27 00:00, , , 08 23 59.31, +20 53 16.1,    1.556,  4.608,  1.96060792044356, 13.8254878,
 2023-May-28 00:00, , , 08 26 22.50, +20 44 35.3,    1.556,  4.600,  1.96856968850229, 13.7443311,
 2023-May-29 00:00, , , 08 28 45.63, +20 35 47.0,    1.555,  4.591,  1.97648448975666, 13.6628686,
 2023-May-30 00:00, , , 08 31 08.69, +20 26 51.2,    1.559,  4.587,  1.98435217175137, 13.5811846,
 2023-May-31 00:00, , , 08 33 31.69, +20 17 47.9,    1.576,  4.597,  1.99217263186094, 13.4993672,
 2023-Jun-01 00:00, , , 08 35 54.60, +20 08 37.3,    1.599,  4.611,  1.99994581862085, 13.4175046,
 2023-Jun-02 00:00, , , 08 38 17.44, +19 59 19.3,    1.594,  4.599,  2.00767173001207, 13.3356780,
 2023-Jun-03 00:00, , , 08 40 40.19, +19 49 54.1,    1.593,  4.590,  2.01535040593218, 13.2539490,
 2023-Jun-04 00:00, , , 08 43 02.86, +19 40 21.6,    1.609,  4.598,  2.02298191246840, 13.1723441,
 2023-Jun-05 00:00, , , 08 45 25.44, +19 30 42.0,    1.629,  4.611,  2.03056631729225, 13.0908402,
 2023-Jun-06 00:00, , , 08 47 47.93, +19 20 55.2,    1.621,  4.596,  2.03810365848176, 13.0093576,
 2023-Jun-07 00:00, , , 08 50 10.33, +19 11 01.4,    1.612,  4.580,  2.04559391226344, 12.9277637,
 2023-Jun-08 00:00, , , 08 52 32.64, +19 01 00.5,    1.618,  4.578,  2.05303696672376, 12.8458893,
 2023-Jun-09 00:00, , , 08 54 54.86, +18 50 52.6,    1.610,  4.564,  2.06043260720376, 12.7635519,
 2023-Jun-10 00:00, , , 08 57 17.00, +18 40 37.7,    1.615,  4.561,  2.06778051541105, 12.6805785,
 2023-Jun-11 00:00, , , 08 59 39.04, +18 30 15.9,    1.612,  4.551,  2.07508028033655, 12.5968233,
 2023-Jun-12 00:00, , , 09 02 01.00, +18 19 47.3,    1.589,  4.521,  2.08233141677999, 12.5121761,
 2023-Jun-13 00:00, , , 09 04 22.87, +18 09 11.8,    1.611,  4.537,  2.08953338715399, 12.4265656,
 2023-Jun-14 00:00, , , 09 06 44.65, +17 58 29.6,    1.605,  4.524,  2.09668562343657, 12.3399575,
 2023-Jun-15 00:00, , , 09 09 06.34, +17 47 40.6,    1.608,  4.521,  2.10378754755759, 12.2523505,
 2023-Jun-16 00:00, , , 09 11 27.94, +17 36 45.0,    1.610,  4.516,  2.11083858945860, 12.1637728,
 2023-Jun-17 00:00, , , 09 13 49.44, +17 25 42.8,    1.614,  4.514,  2.11783820245161, 12.0742763,
