Constellation,Name,RA,Dec,Dist. (ly),vis.mag.
Andromeda,α And,0.13976944444444445,29.090833333333332,97,2.07
Andromeda,β And,1.1621666666666666,35.62083333333334,199,2.07
Andromeda,γ1 And,2.0649777777777776,42.329861111111114,355,2.10
Andromeda,δ And,0.6554444444444445,30.861222222222224,101,3.27
Andromeda,Andromeda Galaxy,0.7123083333333333,41.26927777777777,2540000,3.44[3] (nebulous)
Andromeda,51 And,1.6331944444444444,48.6285,174,3.59
Andromeda,ο And,23.032013888888887,42.32597222222223,692,3.62
Andromeda,λ And,23.626030555555555,46.45916666666667,84,3.81
Andromeda,μ And,0.9458611111111112,38.49925,136,3.86
Andromeda,ζ And,0.7889972222222222,24.26738888888889,181,4.08
Andromeda,υ And,1.613327777777778,41.406388888888884,44,4.10
Andromeda,κ And,23.673455555555556,44.33397222222222,170,4.15
Andromeda,φ And,1.1583666666666665,47.24183333333333,736,4.26
Andromeda,ι And,23.635605555555554,43.26808333333333,502,4.29
Andromeda,π And,0.6146777777777778,33.71936111111111,656,4.34
Andromeda,ε And,0.6426388888888889,29.312361111111112,169,4.34
Andromeda,η And,0.9534527777777777,23.41775,243,4.40
Andromeda,σ And,0.305475,36.785333333333334,141,4.51
Andromeda,ν And,0.8302305555555556,41.078944444444446,679,4.53
Andromeda,7 And,23.209144444444444,49.40597222222222,80,4.53
Andromeda,θ And,0.2848722222222222,38.681666666666665,253,4.61
Andromeda,3 And,23.069675,50.05169444444444,179,4.64
Andromeda,65 And,2.4270555555555555,50.278666666666666,345,4.73
Andromeda,58 And,2.1414305555555555,37.85919444444445,198,4.78
Andromeda,8 And,23.29572777777778,49.015277777777776,655,4.82
Andromeda,ω And,1.4608583333333334,45.40694444444444,92,4.83
Andromeda,γ2 And,2.0651944444444443,42.33083333333334,350,4.84
Andromeda,60 And,2.220372222222222,44.23169444444444,556,4.84
Andromeda,ξ And,1.3723305555555556,45.52875,195,4.87
Andromeda,τ And,1.6763333333333332,40.577111111111115,681,4.96
Andromeda,41 H. And,1.6962555555555556,42.61380555555556,41,4.96
Andromeda,ψ And,23.767233333333333,46.42027777777778,1309,4.97
Andromeda,22 And,0.17201111111111111,46.07227777777778,1006,5.01
Andromeda,χ And,1.6558388888888889,44.38613888888889,242,5.01
Andromeda,41 And,1.1335333333333333,43.942249999999994,196,5.04
Andromeda,2 And,23.04342777777778,42.75780555555556,349,5.09
Andromeda,V428 And,0.6129083333333333,44.4885,656,5.14
Andromeda,ρ And,0.3520083333333333,37.968694444444445,160,5.16
Andromeda,HD 2421,0.47044166666666665,44.3945,265,5.18
Andromeda,64 And,2.406913888888889,50.00663888888889,375,5.19
Andromeda,GN And,0.5020388888888889,29.751694444444446,185,5.20
Andromeda,14 And,23.521444444444445,39.23638888888889,249,5.22
Andromeda,49 And,1.5016944444444444,47.00738888888889,290,5.27
Andromeda,32 And,0.6853333333333333,39.45866666666667,344,5.30
Andromeda,4 And,23.127577777777777,46.38730555555556,342,5.30
Andromeda,6 Per,2.226672222222222,51.06622222222222,199,5.31
Andromeda,62 And,2.321347222222222,47.38,255,5.31
Andromeda,18 And,23.652319444444444,50.47175,390,5.35
Andromeda,55 And,1.8881527777777778,40.72980555555556,540,5.42
Andromeda,11 And,23.324941666666668,48.625194444444446,328,5.44
Andromeda,,0.6225638888888889,35.399499999999996,1022,5.45
Andromeda,36 And,0.9161166666666667,23.628444444444444,127,5.46
Andromeda,V340 And,23.57709722222222,40.236555555555555,233,5.55
Andromeda,PZ And,2.3494916666666668,50.15152777777778,356,5.57
Andromeda,47 And,1.3946,37.715,211,5.60
Andromeda,,1.6776555555555555,43.29775,268,5.63
Andromeda,44 And,1.171902777777778,42.081583333333334,172,5.67
Andromeda,5 And,23.129236111111112,49.29544444444444,111,5.68
Andromeda,HD 5788,1.0009861111111111,44.71330555555556,420,5.69
Andromeda,56 And,1.9358972222222222,37.251805555555556,320,5.69
Andromeda,23 And,0.2252611111111111,41.03572222222222,114,5.71
Andromeda,HD 16028,2.5940944444444445,37.31227777777777,676,5.72
Andromeda,V388 And,23.45203611111111,42.91197222222222,294,5.75
Andromeda,12 And,23.348102777777775,38.182472222222216,138,5.77
Andromeda,,0.3459833333333333,32.91122222222222,646,5.79
Andromeda,45 And,1.1861916666666668,37.72413888888889,916,5.80
Andromeda,HD 14622,2.3806555555555557,41.39652777777778,154,5.81
Andromeda,10 And,23.331216666666666,42.078027777777784,542,5.81
Andromeda,HD 222109,23.62556388888889,44.429027777777776,823,5.81
Andromeda,HD 224635,23.991480555555558,33.72413888888889,95,5.81
Andromeda,OU And,23.828044444444444,36.42538888888889,440,5.86
Andromeda,,0.31061666666666665,31.51722222222222,543,5.88
Andromeda,HD 2767,0.5237805555555556,33.581694444444445,467,5.88
Andromeda,HD 1606,0.3401083333333333,30.93561111111111,582,5.89
Andromeda,,1.9317972222222222,37.27780555555555,991,5.89
Andromeda,KK And,1.5712777777777778,37.23719444444445,392,5.90
Andromeda,,2.6158555555555556,38.73397222222222,177,5.91
Andromeda,6 And,23.174266666666668,43.54475,112,5.91
Andromeda,,1.810788888888889,37.95294444444445,308,5.94
Andromeda,39 And,1.0484111111111112,41.345194444444445,344,5.95
Andromeda,,1.4385000000000001,43.45788888888889,135,5.98
Andromeda,AN And,23.306480555555556,41.773694444444445,472,5.98
Andromeda,HD 5608,0.9706083333333333,33.951055555555556,190,5.99
Andromeda,,23.925966666666667,47.35583333333334,1614,6.01
Andromeda,,23.951008333333334,42.658249999999995,1442,6.01
Andromeda,,0.7696666666666667,44.8615,452,6.03
