constellation,url_end,url
Andromeda,/wiki/List_of_stars_in_Andromeda,https://en.m.wikipedia.org/wiki/List_of_stars_in_Andromeda
Antlia,/wiki/List_of_stars_in_Antlia,https://en.m.wikipedia.org/wiki/List_of_stars_in_Antlia
Apus,/wiki/List_of_stars_in_Apus,https://en.m.wikipedia.org/wiki/List_of_stars_in_Apus
Aquarius,/wiki/List_of_stars_in_Aquarius,https://en.m.wikipedia.org/wiki/List_of_stars_in_Aquarius
Aquila,/wiki/List_of_stars_in_Aquila,https://en.m.wikipedia.org/wiki/List_of_stars_in_Aquila
Ara,/wiki/List_of_stars_in_Ara,https://en.m.wikipedia.org/wiki/List_of_stars_in_Ara
Aries,/wiki/List_of_stars_in_Aries,https://en.m.wikipedia.org/wiki/List_of_stars_in_Aries
Auriga,/wiki/List_of_stars_in_Auriga,https://en.m.wikipedia.org/wiki/List_of_stars_in_Auriga
Boötes,/wiki/List_of_stars_in_Bo%C3%B6tes,https://en.m.wikipedia.org/wiki/List_of_stars_in_Bo%C3%B6tes
Caelum,/wiki/List_of_stars_in_Caelum,https://en.m.wikipedia.org/wiki/List_of_stars_in_Caelum
Camelopardalis,/wiki/List_of_stars_in_Camelopardalis,https://en.m.wikipedia.org/wiki/List_of_stars_in_Camelopardalis
Cancer,/wiki/List_of_stars_in_Cancer,https://en.m.wikipedia.org/wiki/List_of_stars_in_Cancer
Canes Venatici,/wiki/List_of_stars_in_Canes_Venatici,https://en.m.wikipedia.org/wiki/List_of_stars_in_Canes_Venatici
Canis Major,/wiki/List_of_stars_in_Canis_Major,https://en.m.wikipedia.org/wiki/List_of_stars_in_Canis_Major
Canis Minor,/wiki/List_of_stars_in_Canis_Minor,https://en.m.wikipedia.org/wiki/List_of_stars_in_Canis_Minor
Capricornus,/wiki/List_of_stars_in_Capricornus,https://en.m.wikipedia.org/wiki/List_of_stars_in_Capricornus
Carina,/wiki/List_of_stars_in_Carina,https://en.m.wikipedia.org/wiki/List_of_stars_in_Carina
Cassiopeia,/wiki/List_of_stars_in_Cassiopeia,https://en.m.wikipedia.org/wiki/List_of_stars_in_Cassiopeia
Centaurus,/wiki/List_of_stars_in_Centaurus,https://en.m.wikipedia.org/wiki/List_of_stars_in_Centaurus
Cepheus,/wiki/List_of_stars_in_Cepheus,https://en.m.wikipedia.org/wiki/List_of_stars_in_Cepheus
Cetus,/wiki/List_of_stars_in_Cetus,https://en.m.wikipedia.org/wiki/List_of_stars_in_Cetus
Chamaeleon,/wiki/List_of_stars_in_Chamaeleon,https://en.m.wikipedia.org/wiki/List_of_stars_in_Chamaeleon
Circinus,/wiki/List_of_stars_in_Circinus,https://en.m.wikipedia.org/wiki/List_of_stars_in_Circinus
Columba,/wiki/List_of_stars_in_Columba,https://en.m.wikipedia.org/wiki/List_of_stars_in_Columba
Coma Berenices,/wiki/List_of_stars_in_Coma_Berenices,https://en.m.wikipedia.org/wiki/List_of_stars_in_Coma_Berenices
Corona Australis,/wiki/List_of_stars_in_Corona_Australis,https://en.m.wikipedia.org/wiki/List_of_stars_in_Corona_Australis
Corona Borealis,/wiki/List_of_stars_in_Corona_Borealis,https://en.m.wikipedia.org/wiki/List_of_stars_in_Corona_Borealis
Corvus,/wiki/List_of_stars_in_Corvus,https://en.m.wikipedia.org/wiki/List_of_stars_in_Corvus
Crater,/wiki/List_of_stars_in_Crater,https://en.m.wikipedia.org/wiki/List_of_stars_in_Crater
Crux,/wiki/List_of_stars_in_Crux,https://en.m.wikipedia.org/wiki/List_of_stars_in_Crux
Cygnus,/wiki/List_of_stars_in_Cygnus,https://en.m.wikipedia.org/wiki/List_of_stars_in_Cygnus
Delphinus,/wiki/List_of_stars_in_Delphinus,https://en.m.wikipedia.org/wiki/List_of_stars_in_Delphinus
Dorado,/wiki/List_of_stars_in_Dorado,https://en.m.wikipedia.org/wiki/List_of_stars_in_Dorado
Draco,/wiki/List_of_stars_in_Draco,https://en.m.wikipedia.org/wiki/List_of_stars_in_Draco
Equuleus,/wiki/List_of_stars_in_Equuleus,https://en.m.wikipedia.org/wiki/List_of_stars_in_Equuleus
Eridanus,/wiki/List_of_stars_in_Eridanus,https://en.m.wikipedia.org/wiki/List_of_stars_in_Eridanus
Fornax,/wiki/List_of_stars_in_Fornax,https://en.m.wikipedia.org/wiki/List_of_stars_in_Fornax
Gemini,/wiki/List_of_stars_in_Gemini,https://en.m.wikipedia.org/wiki/List_of_stars_in_Gemini
Grus,/wiki/List_of_stars_in_Grus,https://en.m.wikipedia.org/wiki/List_of_stars_in_Grus
Hercules,/wiki/List_of_stars_in_Hercules,https://en.m.wikipedia.org/wiki/List_of_stars_in_Hercules
Horologium,/wiki/List_of_stars_in_Horologium,https://en.m.wikipedia.org/wiki/List_of_stars_in_Horologium
Hydra,/wiki/List_of_stars_in_Hydra,https://en.m.wikipedia.org/wiki/List_of_stars_in_Hydra
Hydrus,/wiki/List_of_stars_in_Hydrus,https://en.m.wikipedia.org/wiki/List_of_stars_in_Hydrus
Indus,/wiki/List_of_stars_in_Indus,https://en.m.wikipedia.org/wiki/List_of_stars_in_Indus
Lacerta,/wiki/List_of_stars_in_Lacerta,https://en.m.wikipedia.org/wiki/List_of_stars_in_Lacerta
Leo,/wiki/List_of_stars_in_Leo,https://en.m.wikipedia.org/wiki/List_of_stars_in_Leo
Leo Minor,/wiki/List_of_stars_in_Leo_Minor,https://en.m.wikipedia.org/wiki/List_of_stars_in_Leo_Minor
Lepus,/wiki/List_of_stars_in_Lepus,https://en.m.wikipedia.org/wiki/List_of_stars_in_Lepus
Libra,/wiki/List_of_stars_in_Libra,https://en.m.wikipedia.org/wiki/List_of_stars_in_Libra
Lupus,/wiki/List_of_stars_in_Lupus,https://en.m.wikipedia.org/wiki/List_of_stars_in_Lupus
Lynx,/wiki/List_of_stars_in_Lynx,https://en.m.wikipedia.org/wiki/List_of_stars_in_Lynx
Lyra,/wiki/List_of_stars_in_Lyra,https://en.m.wikipedia.org/wiki/List_of_stars_in_Lyra
Mensa,/wiki/List_of_stars_in_Mensa,https://en.m.wikipedia.org/wiki/List_of_stars_in_Mensa
Microscopium,/wiki/List_of_stars_in_Microscopium,https://en.m.wikipedia.org/wiki/List_of_stars_in_Microscopium
Monoceros,/wiki/List_of_stars_in_Monoceros,https://en.m.wikipedia.org/wiki/List_of_stars_in_Monoceros
Musca,/wiki/List_of_stars_in_Musca,https://en.m.wikipedia.org/wiki/List_of_stars_in_Musca
Norma,/wiki/List_of_stars_in_Norma,https://en.m.wikipedia.org/wiki/List_of_stars_in_Norma
Octans,/wiki/List_of_stars_in_Octans,https://en.m.wikipedia.org/wiki/List_of_stars_in_Octans
Ophiuchus,/wiki/List_of_stars_in_Ophiuchus,https://en.m.wikipedia.org/wiki/List_of_stars_in_Ophiuchus
Orion,/wiki/List_of_stars_in_Orion,https://en.m.wikipedia.org/wiki/List_of_stars_in_Orion
Pavo,/wiki/List_of_stars_in_Pavo,https://en.m.wikipedia.org/wiki/List_of_stars_in_Pavo
Pegasus,/wiki/List_of_stars_in_Pegasus,https://en.m.wikipedia.org/wiki/List_of_stars_in_Pegasus
Perseus,/wiki/List_of_stars_in_Perseus,https://en.m.wikipedia.org/wiki/List_of_stars_in_Perseus
Phoenix,/wiki/List_of_stars_in_Phoenix,https://en.m.wikipedia.org/wiki/List_of_stars_in_Phoenix
Pictor,/wiki/List_of_stars_in_Pictor,https://en.m.wikipedia.org/wiki/List_of_stars_in_Pictor
Pisces,/wiki/List_of_stars_in_Pisces,https://en.m.wikipedia.org/wiki/List_of_stars_in_Pisces
Piscis Austrinus,/wiki/List_of_stars_in_Piscis_Austrinus,https://en.m.wikipedia.org/wiki/List_of_stars_in_Piscis_Austrinus
Puppis,/wiki/List_of_stars_in_Puppis,https://en.m.wikipedia.org/wiki/List_of_stars_in_Puppis
Pyxis,/wiki/List_of_stars_in_Pyxis,https://en.m.wikipedia.org/wiki/List_of_stars_in_Pyxis
Reticulum,/wiki/List_of_stars_in_Reticulum,https://en.m.wikipedia.org/wiki/List_of_stars_in_Reticulum
Sagitta,/wiki/List_of_stars_in_Sagitta,https://en.m.wikipedia.org/wiki/List_of_stars_in_Sagitta
Sagittarius,/wiki/List_of_stars_in_Sagittarius,https://en.m.wikipedia.org/wiki/List_of_stars_in_Sagittarius
Scorpius,/wiki/List_of_stars_in_Scorpius,https://en.m.wikipedia.org/wiki/List_of_stars_in_Scorpius
Sculptor,/wiki/List_of_stars_in_Sculptor,https://en.m.wikipedia.org/wiki/List_of_stars_in_Sculptor
Scutum,/wiki/List_of_stars_in_Scutum,https://en.m.wikipedia.org/wiki/List_of_stars_in_Scutum
Serpens,/wiki/List_of_stars_in_Serpens,https://en.m.wikipedia.org/wiki/List_of_stars_in_Serpens
Sextans,/wiki/List_of_stars_in_Sextans,https://en.m.wikipedia.org/wiki/List_of_stars_in_Sextans
Taurus,/wiki/List_of_stars_in_Taurus,https://en.m.wikipedia.org/wiki/List_of_stars_in_Taurus
Telescopium,/wiki/List_of_stars_in_Telescopium,https://en.m.wikipedia.org/wiki/List_of_stars_in_Telescopium
Triangulum,/wiki/List_of_stars_in_Triangulum,https://en.m.wikipedia.org/wiki/List_of_stars_in_Triangulum
Triangulum Australe,/wiki/List_of_stars_in_Triangulum_Australe,https://en.m.wikipedia.org/wiki/List_of_stars_in_Triangulum_Australe
Tucana,/wiki/List_of_stars_in_Tucana,https://en.m.wikipedia.org/wiki/List_of_stars_in_Tucana
Ursa Major,/wiki/List_of_stars_in_Ursa_Major,https://en.m.wikipedia.org/wiki/List_of_stars_in_Ursa_Major
Ursa Minor,/wiki/List_of_stars_in_Ursa_Minor,https://en.m.wikipedia.org/wiki/List_of_stars_in_Ursa_Minor
Vela,/wiki/List_of_stars_in_Vela,https://en.m.wikipedia.org/wiki/List_of_stars_in_Vela
Virgo,/wiki/List_of_stars_in_Virgo,https://en.m.wikipedia.org/wiki/List_of_stars_in_Virgo
Volans,/wiki/List_of_stars_in_Volans,https://en.m.wikipedia.org/wiki/List_of_stars_in_Volans
Vulpecula,/wiki/List_of_stars_in_Vulpecula,https://en.m.wikipedia.org/wiki/List_of_stars_in_Vulpecula
