

*******************************************************************************
Ephemeris / WWW_USER Fri Feb  3 05:05:53 2023 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Mercury (199)                   {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 2023-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2030-Dec-31 00:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : IAU_MERCURY                     {West-longitude positive}
Target radii    : 2439.7 x 2439.7 x 2439.7 km     {Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Sun (R_eq= 696000.000) km
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : JD  
EOP file        : eop.230201.p230427                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2023-FEB-01. PREDICTS-> 2023-APR-26
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
************************************************************************************************************************************************************************************
Date_________JDUT, , , R.A._(ICRF), DEC__(ICRF),    APmag,  S-brt,             delta,     deldot,     S-O-T,/r,     S-T-O,  Sky_motion, Sky_mot_PA, RelVel-ANG, Lun_Sky_Brt  sky_SNR
************************************************************************************************************************************************************************************
$$SOE
2459945.500000000, , , 19 40 19.83, -20 33 26.2,    1.114,  3.657,  0.74913234075164,-34.5512460,   13.4455,/T,  132.1854,   1.5031685,  292.52605,  -68.49693,        n.a.     n.a.
2459946.500000000, , , 19 37 33.01, -20 20 19.0,    1.596,  3.879,  0.73016505017842,-31.0297731,   11.8522,/T,  138.9778,   1.9348221,  285.26970,  -61.17297,        n.a.     n.a.
2459947.500000000, , , 19 33 58.92, -20 08 49.0,    2.201,  4.146,  0.71338824267439,-26.9756987,   10.0920,/T,  145.9169,   2.3543097,  280.75424,  -53.03284,        n.a.     n.a.
2459948.500000000, , , 19 29 41.94, -19 59 00.3,    2.936,  4.438,  0.69909266823784,-22.4524808,    8.1973,/T,  152.9103,   2.7314902,  277.72874,  -44.20445,        n.a.     n.a.
2459949.500000000, , , 19 24 48.57, -19 50 54.1,    3.789,  4.701,  0.68752363518405,-17.5535195,    6.2311,/T,  159.7882,   3.0413813,  275.57862,  -34.77524,        n.a.     n.a.
2459950.500000000, , , 19 19 27.26, -19 44 29.1,    4.693,  4.819,  0.67886475402852,-12.3979006,    4.3377,/T,  166.1448,   3.2639171,  273.96684,  -24.83424,        n.a.     n.a.
2459951.500000000, , , 19 13 47.96, -19 39 42.1,    5.405,  4.694,  0.67322528670303, -7.1222589,    2.9579,/T,  170.6665,   3.3853655,  272.68712,  -14.48969,        n.a.     n.a.
2459952.500000000, , , 19 08 01.53, -19 36 29.1,    5.365,  4.734,  0.67063311514795, -1.8697089,    3.0864,/L,  170.3494,   3.3996987,  271.59847,  -3.875425,        n.a.     n.a.
2459953.500000000, , , 19 02 18.94, -19 34 45.7,    4.655,  4.878,  0.67103453211885,  3.2223502,    4.6096,/L,  165.6641,   3.3090696,  270.59270,  6.8514168,        n.a.     n.a.
